Country,20210208,20210209,20210210,20210211,20210212,20210213,20210214,20210215,20210216,20210217,20210218,20210219,20210220,20210221,20210222,20210223,20210224,20210225,20210226,20210227,20210228,20210301,20210302,20210303,20210304,20210305,20210306,20210307,20210308,20210309,20210310,20210311,20210312,20210313,20210314,20210315,20210316,20210317,20210318,20210319,20210320,20210321,20210322,20210323,20210324,20210325,20210326,20210327,20210328,20210329,20210330,20210331,20210401,20210402,20210403,20210404,20210405,20210406,20210407,20210408,20210409,20210410,20210411,20210412,20210413,20210414,20210415,20210416,20210417,20210418,20210419,20210420,20210421,20210422,20210423,20210424,20210425,20210426,20210427,20210428,20210429,20210430,20210501,20210502,20210503,20210504,20210505,20210506,20210507,20210508
arashi,73,172,194,92,100,109,128,108,118,219,125,95,123,124,76,108,92,76,83,97,124,79,85,80,76,75,293,326,368,1080,623,175,498,339,241,152,92,146,116,93,151,198,103,110,147,286,312,187,124,140,790,616,400,245,233,142,182,120,149,111,185,180,136,104,199,264,357,373,687,198,762,162,379,604,409,268,195,627,1569,1264,577,329,188,82,66,124,122,66,67,72
macu,150,157,91,68,59,81,49,51,65,66,38,36,55,51,37,28,54,116,43,95,92,64,51,48,49,57,92,69,54,63,79,55,358,267,136,121,90,139,902,310,191,111,69,58,132,118,106,90,101,97,88,115,65,408,448,313,103,60,61,30,45,61,60,146,111,87,142,94,62,60,651,202,170,49,71,78,229,1159,1800,1520,646,357,135,146,76,90,25,43,51,119
chinshin,246,151,126,72,66,85,107,131,234,143,178,165,109,86,129,296,139,182,160,138,91,96,92,82,57,68,72,53,142,125,103,57,337,245,136,97,63,71,137,108,84,70,89,104,55,66,77,96,85,92,193,85,649,132,106,70,78,88,81,68,90,99,79,52,106,78,94,117,82,126,202,113,71,65,80,69,54,130,87,89,58,827,424,268,249,173,155,172,38,25
milkshop,42,44,40,28,51,49,52,34,68,50,31,36,35,36,23,54,111,206,273,110,94,114,260,301,113,912,729,514,142,66,55,105,61,49,37,33,28,33,39,127,75,45,54,57,260,423,120,85,49,46,42,52,41,28,58,61,60,68,52,33,65,60,49,110,102,65,59,55,56,41,87,76,236,134,64,64,40,43,73,66,53,32,38,34,19,17,23,24,19,7
kebuke,163,499,183,108,152,115,230,122,44,37,21,51,29,21,34,39,94,40,32,27,30,23,27,22,19,31,28,35,29,51,28,26,36,45,31,41,22,31,26,43,34,45,25,26,16,21,16,31,45,31,2061,1271,375,147,72,44,45,45,37,35,28,27,71,39,37,47,36,39,35,35,47,241,62,46,47,22,41,24,24,33,21,204,34,11,5,11,13,69,46,15
coco,89,41,72,36,21,48,20,25,29,28,8,25,251,390,293,236,407,41,62,42,37,38,33,28,20,24,40,31,58,66,49,21,283,219,93,62,29,36,44,47,21,15,30,1319,348,212,78,61,79,26,37,27,59,28,22,154,73,177,31,32,118,53,43,42,71,69,32,29,35,34,34,37,28,25,20,127,60,51,31,41,136,158,101,51,146,14,12,14,16,18
